,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
285,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,32,0.0,81935,579236354383955,8,33.2,279.5506591796875,3.1281216144561768,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.28,28.200000000000003,-7861.568359375,6.029321193695068,,,Q,338432117429426,G,G32
304,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,02,0.0,16399,579237349713171,8,46.2,-472.737060546875,0.03470025584101677,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,41.2,0.0,0.0,,,C,338433116767655,G,G02
305,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,08,0.0,16399,579237355446865,19,37.0,212.8616180419922,2.330232620239258,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,32.0,0.0,0.0,,,C,338433116767655,G,G08
306,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,10,0.0,16399,579237349840915,13,41.4,387.1977233886719,0.6092729568481445,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,36.4,0.0,0.0,,,C,338433116767655,G,G10
307,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,21,0.0,16399,579237353776113,11,43.7,-312.59619140625,0.03069833666086197,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,38.7,0.0,0.0,,,C,338433116767655,G,G21
308,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,27,0.0,16399,579237351910054,12,42.4,574.5242919921875,0.6053785681724548,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,37.4,0.0,0.0,,,C,338433116767655,G,G27
309,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,28,0.0,16399,579237346603601,21,36.8,-474.4248962402344,4.074758529663086,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,31.799999999999997,0.0,0.0,,,C,338433116767655,G,G28
310,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,32,0.0,16399,579237354375159,5,51.4,281.4963684082031,0.02520217001438141,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.26,46.4,0.0,0.0,,,C,338433116767655,G,G32
338,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,03,0.0,81935,579237346015231,27,22.2,-467.9024963378906,6.000500202178955,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.23,17.2,-7861.5703125,6.02939510345459,,,Q,338433116767655,G,G03
339,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,08,0.0,81935,579237355454734,11,29.5,213.5618133544922,2.4808037281036377,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.23,24.5,-7861.5703125,6.02939510345459,,,Q,338433116767655,G,G08
340,1713027219426,332437420000000,18,0.0,-1396730000006041851,-0.3640761375427246,14.80544415244367,-36.458690229949255,9.801982696442098,8,10,0.0,81935,579237349848764,7,34.9,387.1594848632813,0.10350851714611053,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.23,29.9,-7861.5703125,6.02939510345459,,,Q,338433116767655,G,G10
